0,1,4,2,3
J1740+1000,325,0,3.5,0.2
B1800-21,325,0,3.5,0.3
J1740+1000,610,0,5.2,0.8
B1800-21,610,0,9.8,0.5
J1740+1000,900,0,6.9,0.7
B1800-21,900,0,21.4,2.1
J1740+1000,1280,0,2.7,1.1
B1800-21,1280,0,9.6,1.3
J1740+1000,1600,0,2.9,0.5
B1800-21,1600,0,11.1,1.1
J1740+1000,2150,0,1.3,0.1
B1800-21,2150,0,9.3,0.9
J1740+1000,5900,0,0.6,0.2
B1800-21,5900,0,2.2,0.3
