1,2,3,4,5
J1327-0755,820,50,0.9,0.2
J1555-0515,820,50,1.2,0.2
J1612+2008,820,50,0.83,0.11
J1623-0841,820,50,0.42,0.13
J1633-2009,820,50,1.35,0.04
J1735-0243,820,50,1.3,0.3
J1737-0811,820,50,2.7,0.2
J1903-0848,820,50,1.4,0.2
J1941+0121,820,50,1.7,0.5
J2012-2029,820,50,1,0.12
J2033-1938,820,50,1.13,0.15
J2111+2106,820,50,1.08,0.1
J2222-0137,820,50,2.6,0.5
