0,1,2,3,4
B1750-24,610,33,3.9,0.3
B1815-14,610,33,25.1,1.6
B1849+00,610,33,15.39,0.95
B1800-21,610,33,7.4,0.9
B1822-14,610,33,3.5,0.6
B1823-13,610,33,3.5,0.2
