p,f,b,f,fe
B1849+005,250,0,1.624,0.009
B1849+005,330,0,2.1,0.2
B1849+005,410,0,1.7,0.2
B1849+005,1500,0,0.63,0.06
B1849+005,2300,0,0.77,0.1
B1849+005,5000,0,0.739,0.009
B1849+005,8400,0,0.634,0.006
B1849+005,15000,0,0.831,0.008
