0,1,2,3,4
B0037+56,4850,500,0.08,0.01
B0053+47,4850,500,0.06,0.01
B0138+59,4850,500,0.31,0.03
B0144+59,4850,500,0.35,0.11
B0301+19,4850,500,0.44,0.05
B0402+61,4850,500,0.29,0.03
B0450-18,4850,500,0.97,0.1
B0559-05,4850,500,0.31,0.03
B0609+37,4850,500,0.11,0.02
B0611+22,4850,500,0.38,0.04
B0626+24,4850,500,0.89,0.09
B0628-28,4850,500,9.19,0.9
B0643+80,4850,500,0.06,0.01
B0751+32,4850,500,0.15,0.02
B0756-15,4850,500,0.2,0.02
B0809+74,4850,500,2.45,0.25
B0818-13,4850,500,0.33,0.03
B0834+06,4850,500,0.07,0.02
B0906-17,4850,500,0.44,0.05
B0942-13,4850,500,0.05,0.01
J1022+10,4850,500,0.39,0.05
B1039-19,4850,500,0.55,0.06
B1254-10,4850,500,0.21,0.02
B1541+09,4850,500,0.1,0.01
B1552-23,4850,500,0.09,0.02
B1604-00,4850,500,1.64,0.16
B1612+07,4850,500,0.04,0.01
B1620-09,4850,500,0.05,0.2
B1702-19,4850,500,1.1,0.11
B1709-15,4850,500,0.08,0.01
J1713+07,4850,500,0.8,0.04
B1717-16,4850,500,0.06,0.01
B1737+13,4850,500,0.37,0.04
B1738-08,4850,500,0.14,0.02
B1745-12,4850,500,1.42,0.14
B1750-24,4850,500,0.37,0.04
B1753+52,4850,500,0.08,0.01
B1758-23,4850,500,0.43,0.04
B1805-20,4850,500,0.21,0.02
B1815-14,4850,500,0.51,0.06
B1817-13,4850,500,0.2,0.03
B1818-04,4850,500,0.43,0.04
B1819-22,4850,500,0.14,0.02
B1820-11,4850,500,0.64,0.06
B1821+05,4850,500,0.84,0.09
B1821-11,4850,500,0.09,0.01
B1822-14,4850,500,1.2,0.11
B1823-13,4850,500,2.6,0.26
B1829-08,4850,500,0.15,0.02
B1830-08,4850,500,0.9,0.08
B1831-04,4850,500,2.11,0.23
B1839+09,4850,500,0.22,0.03
B1839+56,4850,500,0.36,0.04
B1841-05,4850,500,0.32,0.03
B1849+00,4850,500,0.28,0.03
B1855+02,4850,500,0.51,0.05
B1855+09,4850,500,1.12,0.09
B1859+07,4850,500,0.12,0.02
B1900+01,4850,500,0.59,0.06
B1900+06,4850,500,0.13,0.02
B1905+39,4850,500,0.17,0.02
B1907+03,4850,500,0.35,0.04
B1911+13,4850,500,0.15,0.02
B1911-04,4850,500,0.37,0.04
B1913+10,4850,500,0.15,0.02
B1914+09,4850,500,0.12,0.01
B1914+13,4850,500,0.21,0.02
B1915+13,4850,500,0.16,0.02
B1916+14,4850,500,0.13,0.01
B1923+04,4850,500,0.16,0.02
B2000+32,4850,500,0.42,0.04
B2000+40,4850,500,0.13,0.01
B2002+31,4850,500,0.1,0.02
B2011+38,4850,500,0.72,0.07
B2016+28,4850,500,0.83,0.09
B2045-16,4850,500,1.05,0.12
B2053+36,4850,500,0.28,0.03
B2110+27,4850,500,0.08,0.02
J2145-07,4850,500,0.44,0.03
B2111+46,4850,500,1.89,0.19
B2148+52,4850,500,0.38,0.04
B2148+63,4850,500,0.26,0.05
B2154+40,4850,500,0.57,0.06
B2303+30,4850,500,0.37,0.04
B2310+42,4850,500,0.5,0.05
B2315+21,4850,500,0.08,0.01
B2334+61,4850,500,0.29,0.03
