Name,0,1,2
J0108-1431,1600,0,0.8
J0437-4715,1600,0,140
J0630-2834,1600,0,23
J0737-3039A,1600,0,1.6
J1559-4438,1600,0,40
J2048-1616,1600,0,13
J2144-3933,1600,0,0.8
J2145-0750,1600,0,8
J0737-3039B,1600,0,1.6
