0,1,2,3
B1756-22,500,40,0.25
B1800-21,500,40,8.04
B1804-08,500,40,2.3
B1821-19,500,40,0.78
B1822-09,500,40,6.52
B1826-17,500,40,1.23
B1831-04,500,40,2.47
B1841-05,500,40,0.34
B1842+14,500,40,0.41
B1844-04,500,40,0.34
B1845-01,500,40,1.07
B1857-26,500,40,0.75
B1859+03,500,40,0.19
B1900+05,500,40,0.23
B1900+01,500,40,0.37
B1914+13,500,40,0.26
B1915+13,500,40,0.08
B1917+00,500,40,0.06
B1919+14,500,40,0.19
B1919+21,500,40,0.09
B1920+21,500,40,0.15
B1929+10,500,40,9.08
B1933+16,500,40,3.99
B1944+17,500,40,1.71
B1946+35,500,40,0.59
B1952+29,500,40,0.32
B1953+50,500,40,0.51
B2016+28,500,40,1.44
B2020+28,500,40,1.72
B2021+51,500,40,3.01
B2022+50,500,40,0.71
B2045-16,500,40,1.04
B2106+44,500,40,0.76
B2111+46,500,40,0.32
B2255+58,500,40,0.38
B2306+55,500,40,0.1
B2310+42,500,40,7.05
B2319+60,500,40,1.75
B2324+60,500,40,0.28
B2351+61,500,40,0.26
B0136+57,10550,500,0.07
B0329+54,10550,500,1.96
B0355+54,10550,500,5.13
B0450+55,10550,500,0.3
B0525+21,10550,500,0.05
B0540+23,10550,500,1.82
B0628-28,10550,500,0.29
B0740-28,10550,500,0.66
B0809+74,10550,500,0.42
B0823+26,10550,500,0.61
B0919+06,10550,500,0.19
B0950+08,10550,500,0.68
B1133+16,10550,500,0.49
B1604-00,10550,500,0.25
B1642-03,10550,500,0.21
B1706-16,10550,500,0.36
B1742-30,10550,500,0.28
B1822-09,10550,500,0.26
B1826-17,10550,500,0.12
B1845-01,10550,500,0.34
B1929+10,10550,500,1.82
B2016+28,10550,500,0.18
B2020+28,10550,500,0.62
B2021+51,10550,500,2.39
B2045-16,10550,500,0.15
B2111+46,10550,500,0.22
B2310+42,10550,500,0.24
B2319+60,10550,500,0.19
B2351+61,10550,500,0.25
